Name;Str.;Hnr.;PLZ;Ort;Landkreis;Ansprechpartner;Tel.;Fax;E-Mail;Webseite;Kategorie;Angebote;"HTML-Inhalt ""weitere Infos""";lat;lng
"Alttagsbegleitung Dorit Schmidt";"Am Wiesengrund";97;23936;"Neu Degtow";"LK Nordwestmecklenburg";;"0173 - 2137475";;doritschmidt68@gmx.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag durch individuelle Hilfen";;53.86533;11.21966
"Fahrdienst Moll";Jahnstraße;7;23936;Grevesmühlen;"LK Nordwestmecklenburg";;"03881 7566885";;info@fahrdienst-moll.de;https://www.fahrdienst-moll.de/;Fahrdienst;Fahrdienst;"<p>Mobil: 0152 24952975</p> <p>&nbsp;</p> <p>Der Fahrdienst Moll ist in der Beförderung speziell auf Senioren und hilfsbedürftige Menschen ausgerichtet.</p> <p>Kerngebiet ist dabei die Individualbeförderung zu Ärzten, Therapieeinrichtungen sowie Fahrten in die Kurzzeit- und Tagespflege. Auch Krankenhauseinweisungen/ -entlassungen sowie Verlegungsfahrten zwischen Krankenhäusern gehören zum Angebot.</p>";53.8571345;11.1845518
"Seniorenbetreuung Sunny Care, Woosmer";Bäckerstraße;4;19303;"Vielank OT Woosmer";"LK Ludwigslust-Parchim";;"0162 - 1338434";;Mandy001@gmx.net;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden";;53.2004272;11.1786295
"Tagespflege ""Daddeldu"" in Toitenwinkel";Albert-Schweitzer-Straße;5;18147;Rostock-Toitenwinkel;"KS Rostock";;"0381 8576261";;handundfuss@obdachlosenhilfe-rostock.de;https://www.obdachlosenhilfe-rostock.de/tagespflege-daddeldu.html;Pflege;Tagespflege;"<p>Öffnungszeiten:</p> <p>Montag bis Samstag 09:00 &#8211; 16:00 Uhr</p>";54.114896;12.148513
"Tagespflege ""Gut Bandelstorf""";"Am Gutshof";1;18196;Bandelstorf;"LK Rostock";;"038208 88 99 95 ";;verwaltung@gutbandelstorf.de;https://www.gutbandelstorf.de/;Pflege;Tagespflege;;54.0370704;12.2935013
"DRK Tagespflege Sanitz";"Ribnitzer Straße";1;18190;Sanitz;"LK Rostock";;"038209/ 267";;tpsanitz@drk-dbr.de;https://www.drk-dbr.de/angebote/alltagshilfen/unsere-tagespflegen.html;Pflege;Tagespflege;;54.077705;12.3750918
"Tagespflege ""Lebensbaum"" in Brüel";Feldstraße;7;19412;Brüel;"LK Ludwigslust-Parchim";;"038483 292841";;tagespflege-lebensbaum@t-online.de;https://www.stadt-brueel.de/soziales/tagespflege-lebensbaum/;Pflege;Tagespflege;;53.7358137;11.718722
"Tagespflege ""Neue Heimat"" in Hagenow";"Rudolf-Tarnow-Straße ";1a;19230;Hagenow;"LK Ludwigslust-Parchim";;"03883 / 738 99 94";;info@tagespflege-nh.de;https://tagespflege-nh.de/;Pflege;Tagespflege;;53.43622;11.20272
"Tagespflege ""Parkidylle"" in Kummer";Schulstraße;2;19288;Kummer;"LK Ludwigslust-Parchim";;"038751 20075";;tagespflege-kummer@t-online.de;;Pflege;Tagespflege;;53.3303444;11.3905553
"Seniorenservice Mecklenburg e.V. - Betreuungsangebote";"St. Florianstraße ";14;17168;"Groß Wüstenfelde";"LK Rostock";;039975/759280;;info@seniorenservice-mecklenburg.de;http://www.seniorenservice-mecklenburg.de/index.php;Betreuungsgruppe;"Betreuungsgruppe, Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen, Wohngemeinschaft für Menschen mit Demenz";;53.859364;12.5670942
"Falko Kresin - Entlastung im Alltag bei der Haushaltsführung";"Hasenhäger Straße";56;19077;Sülte;"LK Ludwigslust-Parchim";;01779126998;;falkokresin@gmx.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p>Leistungen:</p> <p>-Serviceangebote für haushaltsnahe Dienstleistungen</p> <p>-Entlastung im Alltag bei der Haushaltsführung</p>";53.51122;11.43355
"Tagespflege Meyenburg";"Plauer Straße";37;16945;Meyenburg;"LK Ludwigslust-Parchim";;"03396 8509191";;info@pusteblume-meyenburg.de;https://www.pusteblume-meyenburg.de/tagespflege.html;Pflege;Tagespflege;;53.3210762;12.2400353
"Tagespflege ""Am Schlosspark""  in Meyenburg";"Freyensteiner Straße ";6a;16945;Meyenburg;"LK Ludwigslust-Parchim";"Cindy Rösemeier ";"033968 50991";;c.roesemeier@drk-prignitz.de;https://www.drk-prignitz.de/angebote/alltagshilfen/tagespflege/tagespflege-meyenburg.html;Pflege;Tagespflege;;53.3133865;12.246728
"Alltagsbegleiter Paul Großmann";Fährstraße;49;18147;Rostock;"KS Rostock";"Paul Großmann";"0173 5205496";;alltagsbegleitung-paulgrossmann@web.de;https://www.betreut-on-tour.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p><b>Peter Grosse</b><br /> 0174 &#8211; 77 26 057<br /> info@betreut-on-tour.de</p> <p>Möhlenkamp 1<br /> 18109 Rostock</p> <p>&nbsp;</p> <p>Einzugsgebiet bis Graal-Müritz</p>";54.1034319;12.1152429
"Volkssolidarität Südwestmecklenburg e.V.";"Am Alten Forsthof ";8;19288;Ludwigslust;"LK Ludwigslust-Parchim";"Maria Puhlmann";"0170-4722036 und 03874-6699034";;demenzberatung@vs-swm.de;https://vs-swm.de/blog/initiative-demenz-partner/;"Mobile Beratung";"Mobile Beratung, Schulung von Ehrenamtlichen, Demenzberatung, Angehörigengruppe, Kontakt- und Informationsstelle, Wohngemeinschaft für Menschen mit Demenz, Wohnen für Menschen mit Demenz, Angehörigenschulung";"<p>Pflegende Angehörige betreuen und beaufsichtigen häufig rund um die Uhr ihre demenzerkrankten Angehörigen diese Situation ist für alle beteiligte herausfordernd. Es kann in Kommunikations- und Beziehungsebene zu Konflikten kommen.</p> <p>Die Volkssolidarität möchte  für die pflegenden Angehörigen und für die Menschen mit Demenz Unterstützungen anbieten.</p> <p>In gemeinsamen Beratungen kann z.B. der Alltag geplant werden um die Tagesstruktur ausgewogen und angenehm wie möglich zu gestalten.</p> <p style=""text-align: left;""><strong>Gerne kommen Sie auf mich zu, meine Sprechzeiten sind:</strong></p> <p style=""text-align: left;"">Montag- Donnerstag von 11:00-14:00 Uhr</p>";53.3305024;11.4941672
"Wohngemeinschaft für Demenzerkrankte Anklam und Boldekow";Buchenweg;2;17389;Anklam;"LK Vorpommern Greifswald";;"03971 258255";;info@pflegedienst-briese.de;https://www.pflegedienst-briese.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Verhinderungspflege, Wohngemeinschaft für Menschen mit Demenz";;53.8473722;13.7030236
"Tagespflege Angela Briese Anklam";Buchenweg;2;17389;Anklam;"LK Vorpommern Greifswald";;"03971 258255";;hauskrankenpflege-briese@web.de;http://www.pflegedienst-briese.de/;Pflege;Tagespflege;;53.8473722;13.7030236
"Tagespflege ""Lebensfreude"" Eggesin";Karl-Marx-Str.;"60 i";17367;Eggesin;"LK Vorpommern Greifswald";;"039779 297292";;grapenthin@web.de;https://www.grapenthin-pflegedienst.de/tagespflege;Pflege;Tagespflege;;53.672893;14.0731383
"GEROVITA Gerontopsychiatrische Tagespflege ""Peter Kolata""";Ueckerstr.;48a;17373;Ueckermünde;"LK Vorpommern Greifswald";;"039771 815635";;info@gerovita.de;http://www.gerovita.de/tagespflege.html;Pflege;Tagespflege;;53.7396216;14.0421509
"Alltagsbegleitung Doreen Karberg Woldegk";"Zum Anger";1;17348;Woldegk;"LK Vorpommern Greifswald";;"0174 6258288";;dk-ebu@gmx.de;https://www.dk-ebu.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung";"<p>Für die Landkreise Mecklenburgische Seenplatte,  Uckermark und Vorpommern Greifswald.</p>";53.4080401;13.5365415
"J&D Hausmeister- und Gebäudeservice";Dorfstr.;15;17309;Zerrenthin;"LK Vorpommern Greifswald";;"039743 50516";;um-haus-und-garten@web.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4914545;14.0871214
"Betreuungs Engel Torgelow";Waldstraße;8;17358;Torgelow;"LK Vorpommern Greifswald";;"03976 255015";;homepage@betreuungsengel.com;https://www.betreuungsengel.com/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung";"<div id=""comp-klpeknv7"" class=""_2Hij5"" data-testid=""richTextElement""> <p><strong>Tätigkeitsgebiet:</strong></p> <p class=""font_7"">Standort ANKLAM &#8211; Raum Anklam-Peeneland<br /> Bluthsluster Str. 27/28 &#8211; 17389 Anklam<br /> Tel.: 03971/2938900</p> </div> <div id=""comp-klpene9j"" class=""_2Hij5"" data-testid=""richTextElement""> <p class=""font_7"">Standort Torgelow &#8211; Raum Uecker-Randow<br /> Borkenstraße 14 &#8211; 17358 Torgelow<br /> Tel.: 03976/255015</p> </div> <div id=""comp-klpengax"" class=""_2Hij5"" data-testid=""richTextElement""> <p class=""font_7"">Standort Neubrandenburg, Friedland, Neustrelitz -Raum Mecklenburgische Seenplatte<br /> Johannestraße 12 A &#8211; 17034 Neubrandenburg<br /> Tel.: 0395/45552938</p> </div>";53.6364857;14.0047081
"""Café der Sinne"" der Volkssolidarität Wismar e.V.";"Hanno-Günther-Straße ";"6 b";23968;Wismar;"LK Nordwestmecklenburg";;"03841 636678";;sozialstation-wismar@volkssolidaritaet.de;https://www.volkssolidaritaet-wismar.de;"Unterstützung im Alltag";Betreuungsgruppe;"<p>Um Menschen mit Demenz und Ihre Angehörigen zu unterstützen und zu begleiten, haben wir im Juli 2016 das „Café der Sinne“ ins Leben gerufen. Wir bieten eine stundenweise Betreuung unter fachkundiger Leitung und mit ehrenamtlichen Betreuerinnen an.</p>";53.9010584;11.4201904
"Selbsthilfegruppe für Angehörige von Menschen mit Demenz in Stralsund";Sundpromenade;1a;18439;Stralsund;"LK Vorpommern Rügen";;"0175 81 28 452";;info@foerderverein-fmmd.de;http://www.foerderverein-fmmd.de/;Angehörigengruppe;Angehörigengruppe;"<p>Der Umgang mit einem an Demenz Erkrankten ist eine Herausforderung für viele Angehörige, die zu Belastungen und persönlichen  Einschränkungen führen können. Im geschützten Rahmen der Selbsthilfegruppe können Sie Erfahrungen austauschen, sich gegenseitig Tipps geben und Trost spenden, aber auch gemeinsam lachen und Mut zu sprechen.</p> <p>Wir freuen uns auf Sie!</p> <p><strong>Veranstaltungsort:</strong><br /> Café &amp; Restaurant Ventspils<br /> Sundpromenade 1a<br /> 18435 Stralsund</p> <p><strong>Treff:</strong> jeden 3. Montag im Monat ab 10:30 Uhr</p> <p>Veranstalter:<br /> Förderverein für Menschen mit Demenz e.V.<br /> Anmeldung: Tel. 03831 3569078</p> <p>&nbsp;</p>";54.3193015;13.0885843
"Senioren Assistenz ""Helfen ist Herzenssache""";Wilhelm-Stoll-Ring;19;23923;Herrnburg;"LK Nordwestmecklenburg";;"0157 52 051 473 ";;info@helfen-ist-herzenssache.de;https://www.Helfen-ist-Herzenssache.de;Trauerbegleitung;"Trauerbegleitung, Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen, Seniorenbegleiter";"<p><strong>Senioren Assistenz  &#8211; Helfen ist Herzenssache</strong></p> <p>Niemand sollte alleine durchs Leben gehen oder auf liebe Gewohnheiten, Hobbys, Wünsche oder Hilfe verzichten müssen. Ich helfe Ihnen, die Herausforderungen zu überwinden und den Wunsch nach Betreuung, Unterstützung und Entlastung im Alltag in Ihren eigenen vier Wänden zu erfüllen.<br /> Ich bin da und unterstütze Sie gerne stundenweise dabei, Ihren Alltag abwechslungsweise und selbstständiger zu gestalten. Gerne können Sie mich zu einem ersten unverbindlichen und für Sie kostenlosen Kennenlernen kontaktieren.</p> <p><span style=""text-decoration: underline;"">Sprechzeiten:  </span>Mo.-Fr.  09:00 bis 18:00 Uhr</p>";53.8397345;10.7613564
"Betreuung für Menschen mit Demenz in Wittenburg";"Große Strasse";60;19243;Wittenburg;"LK Ludwigslust-Parchim";;"038852 50133";;sozialstation-wittenburg@vs-swm.de;https://vs-swm.de/einrichtungen/pflege/betreuung-fuer-menschen-mit-demenz-wittenburg;"Unterstützung im Alltag";Betreuungsgruppe;"<p>Dienstag und Donnerstag von 8 bis 16 Uhr geöffnet.</p>";53.5132667;11.0719227
"Mehrgenerationenhaus der Volkssolidarität in Torgelow";"Blumenthaler Str.";18;17358;Torgelow;"LK Vorpommern Greifswald";;"03976  255242";;fwz-uer@volkssolidaritaet.de;https://vs-uer.de/begegnung-beratung/mehr-generationen-haus/;Selbsthilfe;"Angehörigengruppe, Angehörigenschulung, Musik &amp; Tanz, Veranstaltungen, Begegnung (MGH), Angebote für Senioren, seniorTrainer";"<p>Das Mehrgenerationenhaus bietet vielfältige Angebote zur Förderung von Aktivität und Lebensfreude in der Gemeinschaft für ein selbstbestimmtes Leben und Altern an.</p> <p>Dazu gehört auch der Kurs für pflegende Angehörige für die Pflege und Betreuung von an Demenz erkrankten und Hilfe bedürftigen älteren schwerkranken Menschen.</p> <p>Die Selbsthilfegruppe Demenz trifft sich auch im Mehrgenerationenhaus. Anmeldung unter Tel. 0175 2976165</p> <p>&nbsp;</p>";53.6355281;14.0094605
"Annette Mamerow-Brümmer";Madsow;1;23974;"Neuburg OT Madsow";"LK Nordwestmecklenburg";"Annette Mamerow-Brümmer";"0172 - 9152915";;mamerowmalerei@gmail.com;http://www.annette-mamerow.de/;Weiterbildung;"Weiterbildung, Kunst";"<p>Malerin Annette Mamerow-Brümmer steht mit ihrer künstlerischen Kreativität mitten im Leben und hat viele Erfahrungen im Leben und im Umgang mit Menschen mit Demenz und ihre Zugehörigen.<br /> Im Rahmen der kulturellen Teilhabe von Menschen mit Demenz  werden Schulungen für das Betreuungspersonal von Pflegeeinrichtungen angeboten. Diese beinhalten Erläuterungen sowie das Ausprobieren von verschiedenen Techniken.</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p>";53.9641426;11.6517883
"STI Kommunikation";"Obere Haspelstrasse ";5;79761;Waldshut;;;"07751 700 959";;info@xn--augenhhe-s4a.eu;http://augenhöhe.eu/index.html;"Unterstützung im Alltag";"Entlastung von Pflegenden";"<p>Kommunikation auf Augenhöhe</p> <p>Wenn Worte fehlen, Verständigung schwerfällt und das Gespräch nicht mehr möglich scheint, helfen Zuwendung, Zuhören und Wahrnehmen. Das Wahrnehmen von Gefühlen, Empathie und Perspektivübernahme sind Kernkompetenzen. In unseren Workshops unterstützen wir Sie, diese Fähigkeiten in Ihren Pflegealltag mitzunehmen.</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p>";47.6247736;8.2037553
"Selbsthilfegruppe für Angehörige, Bröbberow";"An der Beke";9;18258;Bröbberow;;;"03844 8099353";;kiss@diakonie-guestrow.de;https://www.diakonie-guestrow.de;Selbsthilfe;Angehörigengruppe;"<p>in der Tagespflege &#8222;Hartlich Stuuv&#8220;</p> <p>1 x monatlich, 17:30 Uhr (bitte telefonisch erfragen)</p>";53.9642472;12.0513155
"TiL ""Treff im Lindengarten""";Bauhofsstraße;17;23966;Wismar;"LK Nordwestmecklenburg";;"03841 4711022";;;https://altstadt-wismar.de/;Selbsthilfe;"Angehörigengruppe, Begegnung (MGH)";"<p><strong>Gesprächskreis für Angehörige von Demenz- und Alzheimererkrankten Wismar</strong></p> <p>2. Montag im Monat</p> <p>&nbsp;</p>";53.894349;11.4706395
"Angehörige Demenzkranker (in der Carl-Friedrich-Flemming-Klinik) Treffen";"HELIOS-Kliniken Schwerin, Carl-Friedrich-Flemming Klinik Klinik für Alterspsychatrie, Haus 19, Ebene 2 Wismarsche Straße ";393-398;19055;Schwerin;"KS Schwerin";"Brigitte Terner";"0385 5203287";;info@kiss-sn.de;;Selbsthilfe;Angehörigengruppe;;53.6538093;11.4107884
"Ambulanter Pflegedienst Margarete Eisele";Dorfstraße;22;17322;Grambow;"LK Vorpommern Greifswald";"Margarete Eisele";030-79747974;0174-4795515;post@margarete-eisele.de;https://margarete-eisele.de;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung";;53.3926067;14.3109427
"Boddenperle - Doreen Hein";"Darßer Weg";4;17493;Greifswald;"LK Vorpommern Greifswald";"Doreen Hein";0162-7857890;;alltagshelfer@boddenperle-hgw.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.0914527;13.4270434
"Alltagshilfe Thomas Raetz";Knopfstr.;4;17489;Greifswald;"LK Vorpommern Greifswald";"Thomas Raetz";"0162-9483575 oder 03834-898172";;alltagshilfe-raetz@web.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.09792;13.38216
"Selbsthilfegruppe für Angehörige von Menschen mit Demenz in Rostock (Werftstraße5, KTV)";Werftstraße;5;18057;Rostock;"KS Rostock";"Elvira Müller";"0173 6252781";;elviramueller765@gmail.com;;Selbsthilfe;Angehörigengruppe;"<p><strong>Selbsthilfegruppe für Angehörige von Menschen mit Demenz</strong></p> <p>Termin: jeden ersten Mittwoch im Monat 15:30 – 17:30 Uhr</p> <p>Ort: Europäische Fachhochschule | Campus Rostock (EuFH), Werftstraße 5</p> <p>Informationen dazu in der Geschäftsstelle der Deutsche Alzheimer Gesellschaft, Landesverband M-V e.V., Telefon: 0381 20875400</p>";54.0935761;12.1061647
"Kanzlei für Pflegerecht";Oberdorf;3;18182;Mönchhagen;"LK Rostock";"René Reck";"038202 690722";;info@meinpflegerecht.com;https://www.meinpflegerecht.com/;Beratung;"Rechtliche Betreuung, Pflegeberatung / Private Krankenversicherung";"<p>Die Kanzlei für Pflegerecht bietet Ihnen:</p> <ul> <li>Unterstützung im Alltag</li> <li>Beantragung und Widerspruch Pflegegrad</li> <li>Beratungsbesuche nach §37 (3) SGB XI</li> <li>Coaching bei Pflegeproblemen</li> <li>Schulungen: Qualifizierung zum Alltagsbegleiter</li> </ul>";54.1473254;12.2285206
"Nimm Dir Zeit e.V.";"Schanze ";27;18311;Ribnitz-Damgarten;"LK Vorpommern Rügen";;01747456803;;info@nimmdirzeitev.de;;"Unterstützung im Alltag";"Betreuungsgruppe, Entlastung von Pflegenden";;54.2349529;12.4364339
"Kleiner Engel Alltagsbegleiter";"Zum Speicher";15;18299;"Wardow / OT Teschow";"LK Rostock";"Andy Schümann";016098534904;;kontakt@alltagsbegleiter-teschow.de;http://alltagsbegleiter-teschow.com/Impressum/;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";"<p>Wir unterstützen Sie in Ihrem Alltag. Unser Angebot richtet sich an Menschen aller Altersgruppen. Wir arbeiten individuell nach Ihren Wünschen. Der Mensch mit seinen Stärken und Schwächen steht bei uns im Mittelpunkt. Ein multiprofessionelles Team steht Ihnen hierzu mit Rat und Tat zur Seite.</p> <p>Bei unserer Arbeit beziehen wir Ihre Gewohnheiten und Vorlieben mit ein. Ein enger Kontakt und kontinuierlicher Austausch mit Angehörigen ist für uns wertvoll. Ihre persönlichen Fragen beantworten wir gerne in einem unverbindlichen Kennenlerngespräch.</p>";53.979559;12.320933
"Christin Sender";"Am Bahnhof";7a;18190;Sanitz;"LK Rostock";;017271828636;;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung";;54.0755409;12.3745091
"Rostocker Reinigungsservice Kristina Trost";"Am Dorfplatz";6;18239;"Satow OT Clausdorf";"LK Rostock";"Kristina Trost";" 038207777284 oder 01627189392";;mail@rostocker-reinigungsservice.de;http://rostocker-reinigungsservice.de/index.htm;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;54.0268984;11.9773285
"Robert Roloff Benesch Reinigungs-Team GmbH";"Satower Str.";51;18198;Kritzmow;"LK Rostock";"Robert Roloff Benesch";038207699769;;post@robertgmbh.de;https://robertgmbh.de/;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;54.0470614;12.0447932
"Bärbel Hakansson";Grasmückenweg;2;18198;Kritzmow;"KS Rostock";"Bärbel Hakansson";" 01728853342";;b.hakansson@gmx.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.04828;12.04865
"Ultra Clean - Enrico Jahn";"Osloer Straße";26;18107;Rostock;"KS Rostock";"Enrico Jahn";017634573053;;ultra.clean@web.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.1347666;12.0502498
"Seelenglück - Jenny Birnbaum";"Heinrich-Heine-Straße ";4d;18230;"Ostseebad Rerik";"KS Rostock";"Jenny Birnbaum";" 01638250050";;info@seelenglueck-rostock.com;https://www.seelenglueck-rostock.com/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p>Sie sind allein und wünschen sich jemanden, der Sie ab und zu beim Spaziergang begleitet? Oder sind Sie pflegender Angehöriger und wünschen sich eine nette Betreuung, die für ein paar Stunden in der Woche zu Ihnen nach Hause kommt und Ihren Pflegebedürftigen unterhält, mit ihm etwas unternimmt oder ihm einfach etwas vorliest? All dies ist möglich. Ich erfülle diese Wünsche, sorge für Abwechslung und die kleine Betreuung zwischendurch.</p>";54.1040902;11.6198209
"Beate Hildebrandt";Ernst-Haeckel-Straße;14;18059;Rostock;"KS Rostock";"Beate Hildebrandt";015153547870;;beate.hildebrandt@arcor.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p>Frau Hildebrandt bietet auch das Tanzangebot &#8222;Neurotango&#8220; für Senior*innen an.</p>";54.0658495;12.1125003
"Caritasverband für das Erzbistum Hamburg e.V.";August-Bebel-Straße;32b;18055;Rostock;"KS Rostock";;03813711940;;abh-rostock@caritas-im-norden.de;https://www.caritas.de/adressen/caritasverband-fuer-das-erzbistum-hamburg-e.v/ambulante-behindertenhilfe/18055-rostock/72969;"Unterstützung im Alltag";"Betreuungsgruppe, Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung";;54.0848788;12.1326955
"PAS Rostock - Familien- & Seniorenhilfe - Patricia Armenat";Industriestraße;15;18069;Rostock;"KS Rostock";"Patricia Armenat";038133712408;;pas-rostock@outlook.de;https://www.pas-rostock.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung";"<p class=""text-align-left size-18 m-size-14""><span class=""font-size-18 m-font-size-14"">Unser höchstes Anliegen ist es, Sie in Ihrem Alltag begleiten zu dürfen und Ihnen stets zu helfen, Ihr Leben im eigenen Zuhause selbst bestimmt und angenehm zu gestalten.</span></p> <p class=""text-align-left size-18 m-size-14""><span class=""font-size-18 m-font-size-14"">Unser Ziel ist es, pflegebedürftigen Personen und vor allem auch deren Angehörigen, eine Entlastung anzubieten, welche mit einer deutlich höheren Lebensqualität verbunden ist.</span></p>";54.1273125;12.0797471
"AbW Christoph Weyer";" Reutershäger Weg";14;18069;Rostock;"KS Rostock";;03818097088;;info@abw-rostock.de;http://abw-rostock.de/;"Unterstützung im Alltag";"Betreuungsgruppe, Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p>Das <strong class="""">Ambulant betreute Wohnen (AbW)</strong> ist ein Angebot für erwachsene Menschen mit einer Behinderung oder psychischen Erkrankungen. Es soll Menschen mit Beeinträchtigungen eine Hilfe sein. Die Angebote vom Ambulant betreuten Wohnen sind Kontakt, Information, Beratung, Betreuung und Hilfe. Das AbW versucht, den Menschen mit Beeinträchtigungen ein weitestgehend selbständiges und selbstbestimmtes Leben zu ermöglichen.</p>";54.0912717;12.0801733
"Eine helfende Hand - Alltagsservice, Pflegeberatung Christin Buro";Nordring;18;19073;Wittenförden;"LK Ludwigslust-Parchim";"Christin Buro";038577332970;;info@eine-helfende-hand.de;;"Mobile Beratung";"Mobile Beratung, Pflegeberatung / Private Krankenversicherung, Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen, Verhinderungspflege, Seniorenbegleiter, Einkaufsservice";"<p>Wir sind tätig in Schwerin sowie in den Landkreisen Ludwigslust-Parchim und Nordwestmecklenburg.</p> <p>&nbsp;</p> <p>&nbsp;</p>";53.6351417;11.332111
"Sozialstation des DRK KV Demmin e.V.";"Neuer Weg";6;17109;Demmin;"LK Mecklenburgische Seenplatte";"Susann Ahrendt";03998271719;;s.ahrendt@demmin.drk.de;https://www.demmin.drk.de/angebote/alltagshilfen/betreuungsangebote.html;"Unterstützung im Alltag";"Betreuungsgruppe, Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Verhinderungspflege";"<p>Für Menschen mit dementiellen Erkrankungen bietet das Rote Kreuz spezielle Freizeitgestaltung, Begleitung und Betreuung. In der Gruppen- oder Einzelbetreuung begleiten unsere Betreuungskräfte die Eingewöhnung und fördern die Fähigkeiten der Senioren durch eine der Demenzstufe entsprechenden Beschäftigung.</p> <p>Außerdem beraten wir Sie und bieten Ihnen:<br /> &#8211; Entlastungs- und Unterstützungsangebote<br /> &#8211; hauswirtschaftliche Hilfen<br /> &#8211; Verhinderungspflege</p>";53.9056463;13.0625935
"Kreiskrankenhaus Demmin";Wollweberstraße;21;17109;Demmin;"LK Mecklenburgische Seenplatte";"OÄ Frau Dipl. med. Riedel";"03998 438-0 oder 438 5987";;kkh@kkh-demmin.de;http://www.kkh-demmin.de/start/index.php?rubric=Startseite&;Diagnose;Klinik;"<p>Klinik für Innere Medizin</p> <p>Zum Behandlungsangebot in der Inneren Medizin gehört auch<br /> &#8211; die Geriatrische Frührehabilitative Komplexbehandlung für ältere Patienten<br /> &#8211; eine spezielle Betreuung durch Geriater.</p>";53.902324;13.0414824
"WG Demenz und Pflegehotel der AWO in Demmin";Schubertstr.;5;17109;Demmin;"LK Mecklenburgische Seenplatte";;039982858632;;info@awo-demmin.de;https://awo-demmin.de/pflege/wohngemeinschaft/wg-demenz-demmin.html;Pflege;"Verhinderungspflege, Wohngemeinschaft für Menschen mit Demenz";"<p>Im Seniorenzentrum in der Schubertstraße befinden sich:<br /> &#8211; ambulant betreute Wohngemeinschaft (10 Wohnungen) für Menschen mit Demenz<br /> &#8211; betreutes Wohnen (10 Wohnungen)<br /> &#8211; Pflegehotel für Verhinderungspflege<br /> &#8211; Gemeinschaftsraum</p> <p>Träger: AWO Regionalverband Demmin e.V.</p>";53.9002769;13.0462569
"WG Demenz der AWO in Altentreptow";Rudolf-Breitscheid-Straße;2a;17087;Altentreptow;"LK Mecklenburgische Seenplatte";;039612295300;;a.jahns@awo-demmin.de;https://awo-demmin.de/pflege/wohngemeinschaft/wg-demenz-altentreptow.html;Wohnen;"Wohngemeinschaft für Menschen mit Demenz";"<p>Wohngemeinschaft für 8 Menschen mit Demenz<br /> des AWO Regionalverbandes Demmin e.V.</p>";53.6900398;13.2485029
